Description,Location,Price,Bedrooms,Bathrooms,Floor_area,Land_area,Latitude,Longitude,Cluster,region
"1-Bedroom Unit (S05J) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig",9833600,1,1,46.0,0.0,14.583771,121.059675,0,National Capital Region
"Bi-level Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong |32K","Wack-Wack Greenhills, Mandaluyong",14488740,1,1,57.0,0.0,14.592173,121.053333,0,National Capital Region
"2-Storey Townhouse Outer Crescent Mid Unit for Sale in Pristina North Residences, Tal...","Talamban, Cebu",15800000,3,0,160.0,120.0,10.36171,123.911374,0,Central Visayas
"RFO 3-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 317-A","Cupang, Muntinlupa",8824800,3,2,76.0,0.0,14.434669,121.040194,0,National Capital Region
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 327-G","Cupang, Muntinlupa",4668600,2,1,58.0,0.0,14.434669,121.040194,0,National Capital Region
"Pre-Selling Studio Unit in SYNC - S Tower, Pasig, Metro Manila","Bagong Ilog, Pasig",3900000,1,1,22.0,0.0,14.565391,121.06934,0,National Capital Region
"Tagaytay Leisure Suites - 2 Bedroom Condo Unit for Sale in Tagaytay City, Cavite","Maitim 2nd West, Tagaytay",7900000,2,2,88.0,0.0,14.119975,120.95476,0,Calabarzon
"Suntrust Shanata, 2-Bedroom (Unit A) for Sale in Novaliches, Quezon City","Novaliches, Quezon City",6363100,2,1,35.0,0.0,14.68155,121.0198,0,National Capital Region
"Studio Condo Unit for Sale at Camella Manors Bacolod in Mandalagan, Bacolod City | RF...","Mandalagan, Bacolod",5187000,1,1,30.0,0.0,10.6877926,122.9747478,0,Western Visayas
"The Glaston Tower - Office Unit, Prime Unit (27N) for Sale in Ortigas East Pasig","Ugong, Pasig",28096000,0,0,101.0,0.0,14.587964,121.079045,0,National Capital Region
"1BR Condo Unit (39sqm)  for Sale in Tivoli Condo, Talamban, Cebu City","Talamban, Cebu",2926950,1,1,39.0,0.0,10.36171,123.911374,0,Central Visayas
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 215-E","Cupang, Muntinlupa",2515625,1,1,30.0,0.0,14.434669,121.040194,0,National Capital Region
